"JURISDICTION","YEAR","POPULATION","MURDER","RAPE","ROBBERY","AGG. ASSAULT","B & E","LARCENY THEFT","M/V THEFT","GRAND TOTAL","PERCENT CHANGE","VIOLENT CRIME TOTAL","VIOLENT CRIME PERCENT","VIOLENT CRIME PERCENT CHANGE","PROPERTY CRIME TOTALS","PROPERTY CRIME PERCENT","PROPERTY CRIME PERCENT CHANGE","OVERALL CRIME RATE PER 100,000 PEOPLE","OVERALL PERCENT CHANGE PER 100,000 PEOPLE","VIOLENT CRIME RATE PER 100,000 PEOPLE","VIOLENT CRIME RATE PERCENT CHANGE PER 100,000 PEOPLE","PROPERTY CRIME RATE PER 100,000 PEOPLE","PROPERTY CRIME RATE PERCENT CHANGE PER 100,000 PEOPLE","MURDER PER 100,000 PEOPLE","RAPE PER 100,000 PEOPLE","ROBBERY PER 100,000 PEOPLE","AGG. ASSAULT PER 100,000 PEOPLE","B & E PER 100,000 PEOPLE","LARCENY THEFT PER 100,000 PEOPLE","M/V THEFT PER 100,000 PEOPLE","MURDER  RATE PERCENT CHANGE PER 100,000 PEOPLE","RAPE RATE PERCENT CHANGE PER 100,000 PEOPLE","ROBBERY RATE PERCENT CHANGE PER 100,000 PEOPLE","AGG. ASSAULT  RATE PERCENT CHANGE PER 100,000 PEOPLE","B & E RATE PERCENT CHANGE PER 100,000 PEOPLE","LARCENY THEFT  RATE PERCENT CHANGE PER 100,000 PEOPLE","M/V THEFT  RATE PERCENT CHANGE PER 100,000 PEOPLE"
"Somerset County","2016","25,481","2","17","16","80","145","332","15","607","35.5%","115","18.9%","38.6%","492","81.1%","34.8%","2,382.2","36.3%","451.3","39.3%","1,930.9","35.6%","7.8","66.7","62.8","314","569.1","1,302.9","58.9","784.9%","0.6%","60.9%","43.7%","26.8%","39.7%","37.1%"
"Somerset County","2017","25,822","1","10","13","83","107","277","17","508","-16.3%","107","21.1%","-7%","401","78.9%","-18.5%","1,967.3","-17.4%","414.4","-8.2%","1,552.9","-19.6%","3.9","38.7","50.3","321.4","414.4","1,072.7","65.8","-50.7%","-42%","-19.8%","2.4%","-27.2%","-17.7%","11.8%"
"Somerset County","2018","25,635","1","9","15","80","99","218","10","432","-15%","105","24.3%","-1.9%","327","75.7%","-18.5%","1,685.2","-14.3%","409.6","-1.2%","1,275.6","-17.9%","3.9","35.1","58.5","312.1","386.2","850.4","39","0.7%","-9.3%","16.2%","-2.9%","-6.8%","-20.7%","-40.7%"
"Somerset County","2019","25,452","1","6","14","47","91","224","4","387","-10.4%","68","17.6%","-35.2%","319","82.4%","-2.4%","1,520.5","-9.8%","267.2","-34.8%","1,253.3","-1.7%","3.9","23.6","55","184.7","357.5","880.1","15.7","0.7%","-32.9%","-6%","-40.8%","-7.4%","3.5%","-59.7%"
"Somerset County","2020","25,440","0","7","9","56","82","231","13","398","2.8%","72","18.1%","5.9%","326","81.9%","2.2%","1,564.5","2.9%","283","5.9%","1,281.4","2.2%","0","27.5","35.4","220.1","322.3","908","51.1","-100%","16.7%","-35.7%","19.2%","-9.8%","3.2%","225.2%"
"St. Mary's County","1975","55,035","3","11","23","78","548","969","82","1,714",,"115","6.7%",,"1,599","93.3%",,"3,114.4",,"209",,"2,905.4",,"5.5","20","41.8","141.7","995.7","1,760.7","149",,,,,,,
"St. Mary's County","1976","50,455","3","10","20","90","565","877","85","1,650","-3.7%","123","7.5%","7%","1,527","92.5%","-4.5%","3,270.2","5%","243.8","16.7%","3,026.5","4.2%","5.9","19.8","39.6","178.4","1,119.8","1,738.2","168.5","9.1%","-0.8%","-5.2%","25.9%","12.5%","-1.3%","13.1%"
"St. Mary's County","1977","53,400","7","10","16","89","590","1,057","69","1,838","11.4%","122","6.6%","-0.8%","1,716","93.4%","12.4%","3,441.9","5.3%","228.5","-6.3%","3,213.5","6.2%","13.1","18.7","30","166.7","1,104.9","1,979.4","129.2","120.5%","-5.5%","-24.4%","-6.6%","-1.3%","13.9%","-23.3%"
"St. Mary's County","1978","53,509","4","11","14","71","613","1,124","65","1,902","3.5%","100","5.3%","-18%","1,802","94.7%","5%","3,554.5","3.3%","186.9","-18.2%","3,367.7","4.8%","7.5","20.6","26.2","132.7","1,145.6","2,100.6","121.5","-43%","9.8%","-12.7%","-20.4%","3.7%","6.1%","-6%"
"St. Mary's County","1979","54,182","4","17","25","119","646","1,233","71","2,115","11.2%","165","7.8%","65%","1,950","92.2%","8.2%","3,903.5","9.8%","304.5","63%","3,599","6.9%","7.4","31.4","46.1","219.6","1,192.3","2,275.7","131","-1.2%","52.6%","76.4%","65.5%","4.1%","8.3%","7.9%"
"St. Mary's County","1980","59,799","3","14","23","149","542","1,229","69","2,029","-4.1%","189","9.3%","14.5%","1,840","90.7%","-5.6%","3,393","-13.1%","316.1","3.8%","3,077","-14.5%","5","23.4","38.5","249.2","906.4","2,055.2","115.4","-32%","-25.4%","-16.6%","13.4%","-24%","-9.7%","-11.9%"
"St. Mary's County","1981","60,780","0","7","19","145","603","1,235","77","2,086","2.8%","171","8.2%","-9.5%","1,915","91.8%","4.1%","3,432.1","1.1%","281.3","-11%","3,150.7","2.4%","0","11.5","31.3","238.6","992.1","2,031.9","126.7","-100%","-50.8%","-18.7%","-4.3%","9.5%","-1.1%","9.8%"
"St. Mary's County","1982","60,837","7","9","10","121","540","1,085","54","1,826","-12.5%","147","8.1%","-14%","1,679","91.9%","-12.3%","3,001.5","-12.5%","241.6","-14.1%","2,759.8","-12.4%","11.5","14.8","16.4","198.9","887.6","1,783.5","88.8","1,150.6%","28.5%","-47.4%","-16.6%","-10.5%","-12.2%","-29.9%"
"St. Mary's County","1983","61,393","1","11","16","159","397","981","31","1,596","-12.6%","187","11.7%","27.2%","1,409","88.3%","-16.1%","2,599.6","-13.4%","304.6","26.1%","2,295","-16.8%","1.6","17.9","26.1","259","646.7","1,597.9","50.5","-85.8%","21.1%","58.6%","30.2%","-27.1%","-10.4%","-43.1%"
"St. Mary's County","1984","62,450","5","15","10","210","377","1,104","39","1,760","10.3%","240","13.6%","28.3%","1,520","86.4%","7.9%","2,818.3","8.4%","384.3","26.2%","2,433.9","6.1%","8","24","16","336.3","603.7","1,767.8","62.4","391.5%","34.1%","-38.6%","29.8%","-6.6%","10.6%","23.7%"
"St. Mary's County","1985","64,123","1","10","24","312","452","1,029","51","1,879","6.8%","347","18.5%","44.6%","1,532","81.5%","0.8%","2,930.3","4%","541.1","40.8%","2,389.2","-1.8%","1.6","15.6","37.4","486.6","704.9","1,604.7","79.5","-80.5%","-35.1%","133.7%","44.7%","16.8%","-9.2%","27.4%"
"St. Mary's County","1986","65,135","0","21","18","250","499","1,062","77","1,927","2.6%","289","15%","-16.7%","1,638","85%","6.9%","2,958.5","1%","443.7","-18%","2,514.8","5.3%","0","32.2","27.6","383.8","766.1","1,630.5","118.2","-100%","106.7%","-26.2%","-21.1%","8.7%","1.6%","48.6%"
"St. Mary's County","1987","68,381","2","15","19","256","523","1,232","71","2,118","9.9%","292","13.8%","1%","1,826","86.2%","11.5%","3,097.4","4.7%","427","-3.8%","2,670.3","6.2%","2.9","21.9","27.8","374.4","764.8","1,801.7","103.8","292.5%","-32%","0.5%","-2.5%","-0.2%","10.5%","-12.2%"
"St. Mary's County","1988","71,380","4","23","37","327","728","1,332","182","2,633","24.3%","391","14.8%","33.9%","2,242","85.2%","22.8%","3,688.7","19.1%","547.8","28.3%","3,140.9","17.6%","5.6","32.2","51.8","458.1","1,019.9","1,866.1","255","91.6%","46.9%","86.6%","22.4%","33.3%","3.6%","145.6%"
"St. Mary's County","1989","71,398","4","27","58","269","717","1,275","129","2,479","-5.8%","358","14.4%","-8.4%","2,121","85.6%","-5.4%","3,472.1","-5.9%","501.4","-8.5%","2,970.7","-5.4%","5.6","37.8","81.2","376.8","1,004.2","1,785.8","180.7","0%","17.4%","56.7%","-17.8%","-1.5%","-4.3%","-29.1%"
"St. Mary's County","1990","75,974","1","22","45","381","735","1,321","121","2,626","5.9%","449","17.1%","25.4%","2,177","82.9%","2.6%","3,456.4","-0.5%","591","17.9%","2,865.5","-3.5%","1.3","29","59.2","501.5","967.4","1,738.8","159.3","-76.5%","-23.4%","-27.1%","33.1%","-3.7%","-2.6%","-11.9%"
"St. Mary's County","1991","77,221","6","31","50","332","958","1,447","86","2,910","10.8%","419","14.4%","-6.7%","2,491","85.6%","14.4%","3,768.4","9%","542.6","-8.2%","3,225.8","12.6%","7.8","40.1","64.7","429.9","1,240.6","1,873.8","111.4","490.3%","38.6%","9.3%","-14.3%","28.2%","7.8%","-30.1%"
"St. Mary's County","1992","77,983","3","27","52","316","664","1,432","83","2,577","-11.4%","398","15.4%","-5%","2,179","84.6%","-12.5%","3,304.6","-12.3%","510.4","-5.9%","2,794.2","-13.4%","3.8","34.6","66.7","405.2","851.5","1,836.3","106.4","-50.5%","-13.8%","3%","-5.7%","-31.4%","-2%","-4.4%"
"St. Mary's County","1993","80,410","3","35","49","271","581","1,424","70","2,433","-5.6%","358","14.7%","-10.1%","2,075","85.3%","-4.8%","3,025.7","-8.4%","445.2","-12.8%","2,580.5","-7.6%","3.7","43.5","60.9","337","722.5","1,770.9","87.1","-3%","25.7%","-8.6%","-16.8%","-15.1%","-3.6%","-18.2%"
"St. Mary's County","1994","81,071","2","26","44","244","555","1,380","70","2,321","-4.6%","316","13.6%","-11.7%","2,005","86.4%","-3.4%","2,862.9","-5.4%","389.8","-12.5%","2,473.1","-4.2%","2.5","32.1","54.3","301","684.6","1,702.2","86.3","-33.9%","-26.3%","-10.9%","-10.7%","-5.3%","-3.9%","-0.8%"
"St. Mary's County","1995","80,901","3","23","51","260","541","1,452","70","2,400","3.4%","337","14%","6.6%","2,063","86%","2.9%","2,966.6","3.6%","416.6","6.9%","2,550","3.1%","3.7","28.4","63","321.4","668.7","1,794.8","86.5","50.3%","-11.4%","16.2%","6.8%","-2.3%","5.4%","0.2%"
"St. Mary's County","1996","81,382","3","30","45","253","609","1,656","78","2,674","11.4%","331","12.4%","-1.8%","2,343","87.6%","13.6%","3,285.7","10.8%","406.7","-2.4%","2,879","12.9%","3.7","36.9","55.3","310.9","748.3","2,034.8","95.8","-0.6%","29.7%","-12.3%","-3.3%","11.9%","13.4%","10.8%"
"St. Mary's County","1997","81,735","3","32","54","250","619","1,838","104","2,900","8.5%","339","11.7%","2.4%","2,561","88.3%","9.3%","3,548.1","8%","414.8","2%","3,133.3","8.8%","3.7","39.2","66.1","305.9","757.3","2,248.7","127.2","-0.4%","6.2%","19.5%","-1.6%","1.2%","10.5%","32.8%"
"St. Mary's County","1998","86,374","5","25","47","203","504","1,575","79","2,438","-15.9%","280","11.5%","-17.4%","2,158","88.5%","-15.7%","2,822.6","-20.4%","324.2","-21.8%","2,498.4","-20.3%","5.8","28.9","54.4","235","583.5","1,823.5","91.5","57.7%","-26.1%","-17.6%","-23.2%","-23%","-18.9%","-28.1%"
"St. Mary's County","1999","88,299","2","31","42","201","426","1,331","75","2,108","-13.5%","276","13.1%","-1.4%","1,832","86.9%","-15.1%","2,387.3","-15.4%","312.6","-3.6%","2,074.8","-17%","2.3","35.1","47.6","227.6","482.5","1,507.4","84.9","-60.9%","21.3%","-12.6%","-3.1%","-17.3%","-17.3%","-7.1%"
"St. Mary's County","2000","86,211","5","11","21","255","366","1,449","68","2,175","3.2%","292","13.4%","5.8%","1,883","86.6%","2.8%","2,522.9","5.7%","338.7","8.4%","2,184.2","5.3%","5.8","12.8","24.4","295.8","424.5","1,680.8","78.9","156.1%","-63.7%","-48.8%","29.9%","-12%","11.5%","-7.1%"
"St. Mary's County","2001","87,492","4","12","12","294","374","1,110","68","1,874","-13.8%","322","17.2%","10.3%","1,552","82.8%","-17.6%","2,141.9","-15.1%","368","8.7%","1,773.9","-18.8%","4.6","13.7","13.7","336","427.5","1,268.7","77.7","-21.2%","7.5%","-43.7%","13.6%","0.7%","-24.5%","-1.5%"
"St. Mary's County","2002","88,842","3","16","32","325","349","1,284","133","2,142","14.3%","376","17.6%","16.8%","1,766","82.4%","13.8%","2,411","12.6%","423.2","15%","1,987.8","12.1%","3.4","18","36","365.8","392.8","1,445.3","149.7","-26.1%","31.3%","162.6%","8.9%","-8.1%","13.9%","92.6%"
"St. Mary's County","2003","90,882","1","14","38","268","457","1,289","127","2,194","2.4%","321","14.6%","-14.6%","1,873","85.4%","6.1%","2,414.1","0.1%","353.2","-16.5%","2,060.9","3.7%","1.1","15.4","41.8","294.9","502.8","1,418.3","139.7","-67.4%","-14.5%","16.1%","-19.4%","28%","-1.9%","-6.7%"
"St. Mary's County","2004","93,582","3","12","32","261","488","1,314","107","2,217","1%","308","13.9%","-4%","1,909","86.1%","1.9%","2,369","-1.9%","329.1","-6.8%","2,039.9","-1%","3.2","12.8","34.2","278.9","521.5","1,404.1","114.3","191.3%","-16.8%","-18.2%","-5.4%","3.7%","-1%","-18.2%"
"St. Mary's County","2005","95,644","1","24","45","290","415","1,401","142","2,318","4.6%","360","15.5%","16.9%","1,958","84.5%","2.6%","2,423.6","2.3%","376.4","14.4%","2,047.2","0.4%","1","25.1","47","303.2","433.9","1,464.8","148.5","-67.4%","95.7%","37.6%","8.7%","-16.8%","4.3%","29.8%"
"St. Mary's County","2006","96,782","5","15","61","239","557","1,662","177","2,716","17.2%","320","11.8%","-11.1%","2,396","88.2%","22.4%","2,806.3","15.8%","330.6","-12.2%","2,475.7","20.9%","5.2","15.5","63","246.9","575.5","1,717.3","182.9","394.1%","-38.2%","34%","-18.6%","32.6%","17.2%","23.2%"
"St. Mary's County","2007","99,909","1","15","45","266","616","1,605","128","2,676","-1.5%","327","12.2%","2.2%","2,349","87.8%","-2%","2,678.4","-4.6%","327.3","-1%","2,351.1","-5%","1","15","45","266.2","616.6","1,606.5","128.1","-80.6%","-3.1%","-28.5%","7.8%","7.1%","-6.5%","-29.9%"
"St. Mary's County","2008","101,533","2","11","44","247","519","1,567","135","2,525","-5.6%","304","12%","-7%","2,221","88%","-5.4%","2,486.9","-7.2%","299.4","-8.5%","2,187.5","-7%","2","10.8","43.3","243.3","511.2","1,543.3","133","96.8%","-27.8%","-3.8%","-8.6%","-17.1%","-3.9%","3.8%"
"St. Mary's County","2009","103,916","0","20","45","243","435","1,506","115","2,364","-6.4%","308","13%","1.3%","2,056","87%","-7.4%","2,274.9","-8.5%","296.4","-1%","1,978.5","-9.6%","0","19.2","43.3","233.8","418.6","1,449.2","110.7","-100%","77.6%","-0.1%","-3.9%","-18.1%","-6.1%","-16.8%"
"St. Mary's County","2010","105,411","4","12","40","267","486","1,655","103","2,567","8.6%","323","12.6%","4.9%","2,244","87.4%","9.1%","2,435.2","7%","306.4","3.4%","2,128.8","7.6%","3.8","11.4","37.9","253.3","461.1","1,570","97.7","379.5%","-40.9%","-12.4%","8.3%","10.1%","8.3%","-11.7%"
"St. Mary's County","2011","106,148","1","23","61","186","712","1,841","133","2,957","15.2%","271","9.2%","-16.1%","2,686","90.8%","19.7%","2,785.7","14.4%","255.3","-16.7%","2,530.4","18.9%","0.9","21.7","57.5","175.2","670.8","1,734.4","125.3","-75.2%","90.3%","51.4%","-30.8%","45.5%","10.5%","28.2%"
"St. Mary's County","2012","108,522","0","12","51","194","753","1,938","87","3,035","2.6%","257","8.5%","-5.2%","2,778","91.5%","3.4%","2,796.7","0.4%","236.8","-7.2%","2,559.8","1.2%","0","11.1","47","178.8","693.9","1,785.8","80.2","-100%","-49%","-18.2%","2%","3.4%","3%","-36%"
"St. Mary's County","2013","110,294","3","6","62","172","641","1,741","119","2,744","-9.6%","243","8.9%","-5.4%","2,501","91.1%","-10%","2,487.9","-11%","220.3","-7%","2,267.6","-11.4%","2.7","5.4","56.2","155.9","581.2","1,578.5","107.9","272%","-50.8%","19.6%","-12.8%","-16.2%","-11.6%","34.6%"
"St. Mary's County","2014","110,842","0","22","58","183","513","1,625","73","2,474","-9.8%","263","10.6%","8.2%","2,211","89.4%","-11.6%","2,232","-10.3%","237.3","7.7%","1,994.7","-12%","0","19.8","52.3","165.1","462.8","1,466.1","65.9","-100%","264.9%","-6.9%","5.9%","-20.4%","-7.1%","-39%"
"St. Mary's County","2015","111,234","2","20","51","224","545","1,673","69","2,584","4.4%","297","11.5%","12.9%","2,287","88.5%","3.4%","2,323","4.1%","267","12.5%","2,056","3.1%","1.8","18","45.8","201.4","490","1,504","62","179.8%","-9.4%","-12.4%","22%","5.9%","2.6%","-5.8%"
"St. Mary's County","2016","111,930","2","28","31","166","413","1,591","71","2,302","-10.9%","227","9.9%","-23.6%","2,075","90.1%","-9.3%","2,056.6","-11.5%","202.8","-24%","1,853.8","-9.8%","1.8","25","27.7","148.3","369","1,421.4","63.4","-0.6%","39.1%","-39.6%","-26.4%","-24.7%","-5.5%","2.3%"
"St. Mary's County","2017","113,700","4","21","50","141","471","1,459","50","2,196","-4.6%","216","9.8%","-4.8%","1,980","90.2%","-4.6%","1,931.4","-6.1%","190","-6.3%","1,741.4","-6.1%","3.5","18.5","44","124","414.2","1,283.2","44","96.9%","-26.2%","58.8%","-16.4%","12.3%","-9.7%","-30.7%"
"St. Mary's County","2018","112,779","1","36","57","155","446","1,391","76","2,162","-1.5%","249","11.5%","15.3%","1,913","88.5%","-3.4%","1,917","-0.7%","220.8","16.2%","1,696.2","-2.6%","0.9","31.9","50.5","137.4","395.5","1,233.4","67.4","-74.8%","72.8%","14.9%","10.8%","-4.5%","-3.9%","53.2%"
"St. Mary's County","2019","112,993","1","29","46","155","333","1,476","71","2,111","-2.4%","231","10.9%","-7.2%","1,880","89.1%","-1.7%","1,868.3","-2.5%","204.4","-7.4%","1,663.8","-1.9%","0.9","25.7","40.7","137.2","294.7","1,306.3","62.8","-0.2%","-19.6%","-19.5%","-0.2%","-25.5%","5.9%","-6.8%"
"St. Mary's County","2020","114,031","7","24","38","146","249","1,194","86","1,744","-17.4%","215","12.3%","-6.9%","1,529","87.7%","-18.7%","1,529.4","-18.1%","188.5","-7.8%","1,340.9","-19.4%","6.1","21","33.3","128","218.4","1,047.1","75.4","593.6%","-18%","-18.1%","-6.7%","-25.9%","-19.8%","20%"
"Talbot County","1975","24,948","2","4","23","48","246","528","28","879",,"77","8.8%",,"802","91.2%",,"3,523.3",,"308.6",,"3,214.7",,"8","16","92.2","192.4","986.1","2,116.4","112.2",,,,,,,
"Talbot County","1976","25,784","1","6","23","52","265","598","20","965","9.8%","82","8.5%","6.5%","883","91.5%","10.1%","3,742.6","6.2%","318","3%","3,424.6","6.5%","3.9","23.3","89.2","201.7","1,027.8","2,319.3","77.6","-51.6%","45.1%","-3.2%","4.8%","4.2%","9.6%","-30.9%"
"Talbot County","1977","25,970","1","9","21","85","214","604","34","968","0.3%","116","12%","41.5%","852","88%","-3.5%","3,727.4","-0.4%","446.7","40.5%","3,280.7","-4.2%","3.9","34.7","80.9","327.3","824","2,325.8","130.9","-0.7%","48.9%","-9.3%","62.3%","-19.8%","0.3%","68.8%"
"Talbot County","1978","26,259","1","3","21","71","234","626","40","996","2.9%","96","9.6%","-17.2%","900","90.4%","5.6%","3,793","1.8%","365.6","-18.2%","3,427.4","4.5%","3.8","11.4","80","270.4","891.1","2,383.9","152.3","-1.1%","-67%","-1.1%","-17.4%","8.1%","2.5%","16.4%"
"Talbot County","1979","26,841","3","4","13","57","266","673","43","1,059","6.3%","77","7.3%","-19.8%","982","92.7%","9.1%","3,945.5","4%","286.9","-21.5%","3,658.6","6.7%","11.2","14.9","48.4","212.4","991","2,507.4","160.2","193.5%","30.4%","-39.4%","-21.5%","11.2%","5.2%","5.2%"
"Talbot County","1980","25,496","4","6","10","65","250","601","39","975","-7.9%","85","8.7%","10.4%","890","91.3%","-9.4%","3,824.1","-3.1%","333.4","16.2%","3,490.7","-4.6%","15.7","23.5","39.2","254.9","980.5","2,357.2","153","40.4%","57.9%","-19%","20.1%","-1.1%","-6%","-4.5%"
"Talbot County","1981","25,914","0","5","19","97","269","679","44","1,113","14.2%","121","10.9%","42.4%","992","89.1%","11.5%","4,295","12.3%","466.9","40.1%","3,828","9.7%","0","19.3","73.3","374.3","1,038","2,620.2","169.8","-100%","-18%","86.9%","46.8%","5.9%","11.2%","11%"
"Talbot County","1982","25,939","1","9","13","51","213","630","42","959","-13.8%","74","7.7%","-38.8%","885","92.3%","-10.8%","3,697.1","-13.9%","285.3","-38.9%","3,411.9","-10.9%","3.9","34.7","50.1","196.6","821.2","2,428.8","161.9","385.5%","79.8%","-31.6%","-47.5%","-20.9%","-7.3%","-4.6%"
"Talbot County","1983","26,174","3","1","13","50","211","556","36","870","-9.3%","67","7.7%","-9.5%","803","92.3%","-9.3%","3,323.9","-10.1%","256","-10.3%","3,067.9","-10.1%","11.5","3.8","49.7","191","806.1","2,124.2","137.5","197.3%","-89%","-0.9%","-2.8%","-1.8%","-12.5%","-15.1%"
"Talbot County","1984","26,693","0","9","10","61","189","609","34","912","4.8%","80","8.8%","19.4%","832","91.2%","3.6%","3,416.6","2.8%","299.7","17.1%","3,116.9","1.6%","0","33.7","37.5","228.5","708.1","2,281.5","127.4","-100%","782.5%","-24.6%","19.6%","-12.2%","7.4%","-7.4%"
"Talbot County","1985","27,063","3","7","15","96","256","509","36","922","1.1%","121","13.1%","51.3%","801","86.9%","-3.7%","3,406.9","-0.3%","447.1","49.2%","2,959.8","-5%","11.1","25.9","55.4","354.7","945.9","1,880.8","133","1,108.5%","-23.3%","47.9%","55.2%","33.6%","-17.6%","4.4%"
"Talbot County","1986","27,524","0","7","14","80","273","648","41","1,063","15.3%","101","9.5%","-16.5%","962","90.5%","20.1%","3,862.1","13.4%","367","-17.9%","3,495.1","18.1%","0","25.4","50.9","290.7","991.9","2,354.3","149","-100%","-1.7%","-8.2%","-18.1%","4.9%","25.2%","12%"
"Talbot County","1987","27,637","5","8","16","113","215","635","33","1,025","-3.6%","142","13.9%","40.6%","883","86.1%","-8.2%","3,708.8","-4%","513.8","40%","3,195","-8.6%","18.1","28.9","57.9","408.9","777.9","2,297.6","119.4","1,809.2%","13.8%","13.8%","40.7%","-21.6%","-2.4%","-19.8%"
"Talbot County","1988","28,470","2","9","19","117","185","610","46","988","-3.6%","147","14.9%","3.5%","841","85.1%","-4.8%","3,470.3","-6.4%","516.3","0.5%","2,954","-7.5%","7","31.6","66.7","411","649.8","2,142.6","161.6","-61.2%","9.2%","15.3%","0.5%","-16.5%","-6.7%","35.3%"
"Talbot County","1989","28,437","3","14","36","155","235","694","65","1,202","21.7%","208","17.3%","41.5%","994","82.7%","18.2%","4,226.9","21.8%","731.4","41.7%","3,495.4","18.3%","10.5","49.2","126.6","545.1","826.4","2,440.5","228.6","50.2%","55.7%","89.7%","32.6%","27.2%","13.9%","41.5%"
"Talbot County","1990","30,549","0","9","22","154","211","631","49","1,076","-10.5%","185","17.2%","-11.1%","891","82.8%","-10.4%","3,522.2","-16.7%","605.6","-17.2%","2,916.6","-16.6%","0","29.5","72","504.1","690.7","2,065.5","160.4","-100%","-40.2%","-43.1%","-7.5%","-16.4%","-15.4%","-29.8%"
"Talbot County","1991","31,048","1","6","29","104","237","735","39","1,151","7%","140","12.2%","-24.3%","1,011","87.8%","13.5%","3,707.2","5.3%","450.9","-25.5%","3,256.2","11.6%","3.2","19.3","93.4","335","763.3","2,367.3","125.6","322.1%","-34.4%","29.7%","-33.6%","10.5%","14.6%","-21.7%"
"Talbot County","1992","31,354","2","11","22","106","293","682","40","1,156","0.4%","141","12.2%","0.7%","1,015","87.8%","0.4%","3,686.9","-0.5%","449.7","-0.3%","3,237.2","-0.6%","6.4","35.1","70.2","338.1","934.5","2,175.2","127.6","98%","81.5%","-24.9%","0.9%","22.4%","-8.1%","1.6%"
"Talbot County","1993","31,533","1","9","26","146","252","678","30","1,142","-1.2%","182","15.9%","29.1%","960","84.1%","-5.4%","3,621.6","-1.8%","577.2","28.3%","3,044.4","-6%","3.2","28.5","82.5","463","799.2","2,150.1","95.1","-50.3%","-18.6%","17.5%","37%","-14.5%","-1.2%","-25.4%"
"Talbot County","1994","31,790","1","16","15","122","285","734","54","1,227","7.4%","154","12.6%","-15.4%","1,073","87.4%","11.8%","3,859.7","6.6%","484.4","-16.1%","3,375.3","10.9%","3.1","50.3","47.2","383.8","896.5","2,308.9","169.9","-0.8%","76.3%","-42.8%","-17.1%","12.2%","7.4%","78.5%"
"Talbot County","1995","32,243","1","13","17","159","218","810","52","1,270","3.5%","190","15%","23.4%","1,080","85%","0.7%","3,938.8","2.1%","589.3","21.6%","3,349.6","-0.8%","3.1","40.3","52.7","493.1","676.1","2,512.2","161.3","-1.4%","-19.9%","11.7%","28.5%","-24.6%","8.8%","-5.1%"
"Talbot County","1996","32,432","4","8","35","85","200","829","58","1,219","-4%","132","10.8%","-30.5%","1,087","89.2%","0.6%","3,758.6","-4.6%","407","-30.9%","3,351.6","0.1%","12.3","24.7","107.9","262.1","616.7","2,556.1","178.8","297.7%","-38.8%","104.7%","-46.9%","-8.8%","1.7%","10.9%"
"Talbot County","1997","32,571","6","11","29","93","228","778","61","1,206","-1.1%","139","11.5%","5.3%","1,067","88.5%","-1.8%","3,702.7","-1.5%","426.8","4.9%","3,275.9","-2.3%","18.4","33.8","89","285.5","700","2,388.6","187.3","49.4%","36.9%","-17.5%","8.9%","13.5%","-6.6%","4.7%"
"Talbot County","1998","33,320","1","6","22","120","273","806","36","1,264","4.8%","149","11.8%","7.2%","1,115","88.2%","4.5%","3,793.5","2.5%","447.2","4.8%","3,346.3","2.1%","3","18","66","360.1","819.3","2,419","108","-83.7%","-46.7%","-25.8%","26.1%","17%","1.3%","-42.3%"
"Talbot County","1999","33,302","1","9","27","77","212","776","43","1,145","-9.4%","114","10%","-23.5%","1,031","90%","-7.5%","3,438.2","-9.4%","342.3","-23.4%","3,095.9","-7.5%","3","27","81.1","231.2","636.6","2,330.2","129.1","0.1%","50.1%","22.8%","-35.8%","-22.3%","-3.7%","19.5%"
"Talbot County","2000","33,812","3","6","14","66","223","704","36","1,052","-8.1%","89","8.5%","-21.9%","963","91.5%","-6.6%","3,111.3","-9.5%","263.2","-23.1%","2,848.1","-8%","8.9","17.7","41.4","195.2","659.5","2,082.1","106.5","195.5%","-34.3%","-48.9%","-15.6%","3.6%","-10.6%","-17.5%"
"Talbot County","2001","34,314","0","8","19","44","155","691","28","945","-10.2%","71","7.5%","-20.2%","874","92.5%","-9.2%","2,754","-11.5%","206.9","-21.4%","2,547.1","-10.6%","0","23.3","55.4","128.2","451.7","2,013.8","81.6","-100%","31.4%","33.7%","-34.3%","-31.5%","-3.3%","-23.4%"
"Talbot County","2002","34,844","1","8","13","65","153","642","15","897","-5.1%","87","9.7%","22.5%","810","90.3%","-7.3%","2,574.3","-6.5%","249.7","20.7%","2,324.6","-8.7%","2.9","23","37.3","186.5","439.1","1,842.5","43","287%","-1.5%","-32.6%","45.5%","-2.8%","-8.5%","-47.2%"
"Talbot County","2003","34,582","2","10","10","123","174","629","27","975","8.7%","145","14.9%","66.7%","830","85.1%","2.5%","2,819.4","9.5%","419.3","67.9%","2,400.1","3.2%","5.8","28.9","28.9","355.7","503.2","1,818.9","78.1","101.5%","25.9%","-22.5%","90.7%","14.6%","-1.3%","81.4%"
"Talbot County","2004","34,979","1","9","30","99","173","669","36","1,017","4.3%","139","13.7%","-4.1%","878","86.3%","5.8%","2,907.5","3.1%","397.4","-5.2%","2,510.1","4.6%","2.9","25.7","85.8","283","494.6","1,912.6","102.9","-50.6%","-11%","196.6%","-20.4%","-1.7%","5.2%","31.8%"
"Talbot County","2005","35,284","3","10","27","83","169","683","26","1,001","-1.6%","123","12.3%","-11.5%","878","87.7%","0%","2,837","-2.4%","348.6","-12.3%","2,488.4","-0.9%","8.5","28.3","76.5","235.2","479","1,935.7","73.7","197.4%","10.2%","-10.8%","-16.9%","-3.2%","1.2%","-28.4%"
